date_from,date_to,term,missing_data,trend_index,trend_index_12w_ma,trend_index_52w_ma,trend_index_12w_ma_prior_year,trend_index_12w_ma_yoy_pct
2023-04-30,2023-05-06,AI Porn,False,15.0,11.583333333333334,5.115384615384615,1.8333333333333333,531.8181818181819
2023-04-30,2023-05-06,Best Colleges,False,44.0,37.083333333333336,38.30769230769231,37.583333333333336,-1.330376940133038
2023-04-30,2023-05-06,Trade School,False,12.0,10.25,9.5,9.583333333333334,6.956521739130439
2023-05-07,2023-05-13,AI Porn,False,17.0,12.25,5.403846153846154,1.8333333333333333,568.1818181818181
2023-05-07,2023-05-13,Best Colleges,False,51.0,38.75,38.55769230769231,38.16666666666666,1.5283842794759916
2023-05-07,2023-05-13,Trade School,False,11.0,10.416666666666666,9.51923076923077,9.666666666666666,7.758620689655182
2023-05-14,2023-05-20,AI Porn,False,17.0,12.916666666666666,5.6923076923076925,1.8333333333333333,604.5454545454546
2023-05-14,2023-05-20,Best Colleges,False,51.0,40.25,38.75,38.833333333333336,3.648068669527893
2023-05-14,2023-05-20,Trade School,False,10.0,10.416666666666666,9.51923076923077,9.75,6.837606837606836
2023-05-21,2023-05-27,AI Porn,False,16.0,13.5,5.961538461538462,1.8333333333333333,636.3636363636364
2023-05-21,2023-05-27,Best Colleges,False,56.0,42.16666666666666,39.01923076923077,39.583333333333336,6.526315789473669
2023-05-21,2023-05-27,Trade School,False,10.0,10.333333333333334,9.538461538461538,9.666666666666666,6.896551724137945
2023-05-28,2023-06-03,AI Porn,False,17.0,14.166666666666666,6.25,1.9166666666666667,639.1304347826086
2023-05-28,2023-06-03,Best Colleges,False,52.0,43.583333333333336,39.21153846153846,40.333333333333336,8.057851239669422
2023-05-28,2023-06-03,Trade School,False,10.0,10.333333333333334,9.576923076923077,9.583333333333334,7.826086956521738
2023-06-04,2023-06-10,AI Porn,False,16.0,14.666666666666666,6.519230769230769,1.9166666666666667,665.2173913043478
2023-06-04,2023-06-10,Best Colleges,False,52.0,45.083333333333336,39.32692307692308,41.25,9.292929292929308
2023-06-04,2023-06-10,Trade School,False,10.0,10.416666666666666,9.596153846153848,9.583333333333334,8.695652173913038
2023-06-11,2023-06-17,AI Porn,False,17.0,15.083333333333334,6.807692307692308,1.9166666666666667,686.9565217391305
2023-06-11,2023-06-17,Best Colleges,False,57.0,46.75,39.51923076923077,42.0,11.309523809523814
2023-06-11,2023-06-17,Trade School,False,9.0,10.166666666666666,9.615384615384617,9.416666666666666,7.964601769911495
2023-06-18,2023-06-24,AI Porn,False,17.0,15.5,7.096153846153846,1.9166666666666667,708.6956521739131
2023-06-18,2023-06-24,Best Colleges,False,52.0,47.91666666666666,39.38461538461539,43.583333333333336,9.94263862332694
